admin_id,name,phone_no,address,username,password
1,PRAKASH,1234567890,GUJARAT,PRAKASH,PRAKASH
2,SURESH,9000000000,Mumbai,SURESH,SURESH
3,RAMESH,2000000000,CHANDIGARDH,RAMESH,RAMESH
4,KARAN,3000000000,KERELA,KARAN,KARAN
5,ROHAN,4000000000,DELHI,ROHAN,ROHAN
6,PRIYA,5000000000,GURGAON,PRIYA,PRIYA
7,RADHA,6000000000,TAMIL NADU,RADHA,RADHA
8,RAM,7000000000,AP,RAM,RAM
9,RAHUL,8000000000,SDOCIM,RAHUL,RAHUL
10,ALIA,9000000000,MP,ALIA,ALIA
11,MIHIR,4000000001,GUJARAT,MIHIR,MIHIR
12,DHRUV,5000000001,DELHI,DHRUV,DHRUV
13,PARTH,6000000001,MUMBAI,PARTH,PARTH
14,RICHA,7000000001,MUMBAI,RICHA,RICHA
15,RUCHI,8000000001,DELHI,RUCHI,RUCHI
16,POOJA,9000000001,TAMIL NADU,POOJA,POOJA
17,AARTI,4000000002,TAMIL NADU,AARTI,AARTI
18,TAARAK,1234321234,MP,TAARAK,TAARAK
19,DAYA,8765678987,MUMBAI,DAYA,DAYA
20,TAARAK,3456789098,MUMBAI,TAARAK,TAARAK
21,JETHA,7654345670,MUMBAI,JETHA,JETHA
22,ANJALI,9876543214,MUMBAI,ANJALI,ANJALI
23,IYER,9807654567,MUMBAI,IYER,IYER
24,SUNDAR,8765676767,MUMBAI,SUNDAR,SUNDAR
25,BHIDE,4567876567,MUMBAI,BHIDE,BHIDE
