customer_id,customer_name,address,phone_no,username,password,admin_id,account_status
1,Kanisha,PUNE,8100000000,Kanisha,Kanisha,14,1
2,Emerson,AP,8100000100,Emerson,Emerson,23,1
3,Blair,Chennai,8100000200,Blair,Blair,7,1
4,Brock,Chennai,8100000300,Brock,Brock,7,0
5,Lorrie,Sikkim,8100000400,Lorrie,Lorrie,9,1
6,Sabra,AP,8100000500,Sabra,Sabra,8,0
7,Marjory,Mumbai,8100000600,Marjory,Marjory,2,0
8,Karl,VADODARA,8100000700,Karl,Karl,11,1
9,Tonette,VADODARA,8100000800,Tonette,Tonette,11,1
10,Amber,AP,8100000900,Amber,Amber,23,0
11,Shenika,Bhopal,8100001000,Shenika,Shenika,10,1
12,Delmy,Delhi,8100001100,Delmy,Delmy,12,1
13,Deeanna,Delhi,8100001200,Deeanna,Deeanna,15,1
14,Blondell,VADODARA,8100001300,Blondell,Blondell,11,1
15,Jamal,kerela,8100001400,Jamal,Jamal,19,1
16,Cecily,Mumbai,8100001500,Cedily,Cecily,2,1
17,Carmelina,Chennai,8100001600,Carmelina,Carmelina,7,1
18,Maurine,Mumbai,8100001700,Maurine,Maurine,2,1
19,Tawna,AP,8100001800,Tawna,Tawna,23,0
20,Penney,Bhopal,8100001900,Penney,Penney,25,1
21,Elly,Delhi,8100002000,Elly,Elly,21,1
22,Ilene,Bhopal,8100002100,Ilene,Ilene,10,1
23,Vallie,Gurgaon,8100002200,Vallie,Vallie,6,1
24,Kallie,Chennai,8100002300,Kallie,Kallie,17,1
25,May,Delhi,5678909876,May,May,14,1
